latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-9.82461,-54.71647,302.78,2.42,1.5,2022-06-29,0134,T,51,6.1NRT,289.81,22.18,N
-9.09792,-50.22925,303.41,1.15,1.07,2022-06-29,0134,T,32,6.1NRT,293.28,5.48,N
-9.08971,-50.2409,304.44,1.15,1.07,2022-06-29,0134,T,22,6.1NRT,293.78,5.82,N
-7.32678,-39.30518,302.63,3.49,1.76,2022-06-29,0134,T,50,6.1NRT,290.88,29.02,N
-8.68561,-47.96327,310.47,1,1,2022-06-29,0134,T,80,6.1NRT,291.84,9.89,N
-7.33317,-39.31125,303.45,3.49,1.76,2022-06-29,0134,T,55,6.1NRT,290.9,34.78,N
-8.76963,-49.02579,302.64,1.03,1.01,2022-06-29,0134,T,50,6.1NRT,292.48,4.81,N
-8.33174,-47.0957,306.05,1.03,1.01,2022-06-29,0134,T,67,6.1NRT,293.97,6.53,N
-8.67844,-49.6993,319.45,1.08,1.04,2022-06-29,0134,T,99,6.1NRT,293.8,17.96,N
-8.66913,-49.70058,327.72,1.08,1.04,2022-06-29,0134,T,100,6.1NRT,294.98,28.19,N
-8.56637,-50.29784,328.07,1.14,1.06,2022-06-29,0134,T,100,6.1NRT,290.42,32.19,N
-8.56776,-50.30814,308.83,1.14,1.07,2022-06-29,0134,T,76,6.1NRT,290.22,10.54,N
-8.55682,-50.29915,343.31,1.14,1.06,2022-06-29,0134,T,100,6.1NRT,293.14,59.21,N
-8.5582,-50.30945,314.8,1.14,1.07,2022-06-29,0134,T,90,6.1NRT,291.38,15.22,N
-8.396,-49.71757,308.48,1.07,1.03,2022-06-29,0134,T,23,6.1NRT,293.26,7.66,N
-8.39732,-49.72729,328.38,1.08,1.04,2022-06-29,0134,T,100,6.1NRT,294.43,28.43,N
-7.79653,-46.83327,307.86,1.05,1.02,2022-06-29,0134,T,73,6.1NRT,293.55,8.1,N
-7.54682,-46.82125,320,1.06,1.03,2022-06-29,0134,T,100,6.1NRT,292.94,19.41,N
-7.54819,-46.83071,304.51,1.06,1.03,2022-06-29,0134,T,60,6.1NRT,291.82,6.47,N
-7.62475,-47.36195,303.85,1.02,1.01,2022-06-29,0134,T,57,6.1NRT,292.61,5.56,N
-7.46057,-46.48988,305.99,1.09,1.04,2022-06-29,0134,T,66,6.1NRT,290.4,8.26,N
-7.46202,-46.49966,312.13,1.09,1.04,2022-06-29,0134,T,84,6.1NRT,290.79,13.01,N
-7.21939,-45.70492,305.9,1.19,1.09,2022-06-29,0134,T,66,6.1NRT,291.2,9.05,N
-7.24982,-45.97994,307.8,1.15,1.07,2022-06-29,0134,T,73,6.1NRT,291.62,10.06,N
-7.25132,-45.99018,310.82,1.15,1.07,2022-06-29,0134,T,81,6.1NRT,291.75,12.62,N
-6.02183,-43.37516,311.26,1.78,1.31,2022-06-29,0134,T,82,6.1NRT,292.36,21.21,N
-6.02427,-43.39111,321.22,1.77,1.3,2022-06-29,0134,T,100,6.1NRT,292.18,40.58,N
-6.01015,-43.37709,309.89,1.78,1.31,2022-06-29,0134,T,79,6.1NRT,292.39,19.8,N
-6.01255,-43.3927,317.57,1.77,1.3,2022-06-29,0134,T,95,6.1NRT,292.27,33.59,N
-6.541,-47.82409,300.44,1.01,1.01,2022-06-29,0134,T,28,6.1NRT,286.23,6.44,N
-5.86831,-43.72648,302.1,1.68,1.27,2022-06-29,0134,T,47,6.1NRT,290.8,9.43,N
-6.57373,-51.09951,306.74,1.2,1.09,2022-06-29,0137,T,69,6.1NRT,293.33,8.8,N
-5.6279,-46.47855,313.3,1.13,1.06,2022-06-29,0137,T,87,6.1NRT,291.48,13.82,N
-5.60239,-46.46755,306.32,1.13,1.06,2022-06-29,0137,T,57,6.1NRT,292.13,8.5,N
-4.82266,-43.65472,310.76,1.77,1.3,2022-06-29,0137,T,81,6.1NRT,275.32,27.14,N
-4.82739,-43.65973,308.08,1.77,1.3,2022-06-29,0137,T,73,6.1NRT,276.07,24.84,N
-4.97825,-47.89562,300.12,1.02,1.01,2022-06-29,0137,T,11,6.1NRT,285.87,4.4,N
-4.65723,-45.71982,321.9,1.28,1.12,2022-06-29,0137,T,100,6.1NRT,291.91,27.85,N
-4.65885,-45.73103,306.36,1.28,1.12,2022-06-29,0137,T,68,6.1NRT,291.31,9.59,N
-4.64714,-45.72112,316.08,1.28,1.12,2022-06-29,0137,T,92,6.1NRT,291.47,19.76,N
-3.5523,-43.514,300.79,1.91,1.35,2022-06-29,0137,T,15,6.1NRT,284.53,9.95,N
-4.18379,-48.71639,304.05,1,1,2022-06-29,0137,T,20,6.1NRT,292,6.16,N
-3.67409,-48.29992,306.58,1.02,1.01,2022-06-29,0137,T,69,6.1NRT,291.06,6.2,N
-3.67539,-48.30898,310.91,1.02,1.01,2022-06-29,0137,T,81,6.1NRT,292.03,9.31,N
-3.66613,-48.30704,303.95,1.02,1.01,2022-06-29,0137,T,34,6.1NRT,293.01,5.35,N
-24.64962,-42.51452,309.35,1.08,1.04,2022-06-29,0130,T,66,6.1NRT,292.73,9.38,N
-24.59042,-42.25999,310.54,1.11,1.05,2022-06-29,0130,T,71,6.1NRT,292.7,10.52,N
-24.58494,-42.25627,324.27,1.11,1.05,2022-06-29,0130,T,100,6.1NRT,292.91,25.11,N
-22.92228,-43.75142,302.87,1.03,1.01,2022-06-29,0132,T,35,6.1NRT,291.06,5.32,N
-22.92376,-43.76139,305.11,1.03,1.01,2022-06-29,0132,T,63,6.1NRT,291.35,6.65,N
-22.91021,-43.73307,310.69,1.03,1.01,2022-06-29,0132,T,81,6.1NRT,290.71,11.07,N
-22.5163,-44.11755,301.96,1.02,1.01,2022-06-29,0132,T,46,6.1NRT,288.21,6.71,N
-22.94779,-48.69963,303.81,1.36,1.16,2022-06-29,0132,T,57,6.1NRT,284.85,13.27,N
-22.62064,-46.246,301.78,1.04,1.02,2022-06-29,0132,T,44,6.1NRT,282.68,8.26,N
-22.62199,-46.25618,313.37,1.04,1.02,2022-06-29,0132,T,87,6.1NRT,282.01,16.39,N
-22.25816,-50.03452,311.62,1.63,1.26,2022-06-29,0132,T,83,6.1NRT,288.61,25.17,N
-22.25996,-50.05088,309.62,1.63,1.26,2022-06-29,0132,T,78,6.1NRT,288.61,22.59,N
-21.88279,-48.62659,330.42,1.31,1.13,2022-06-29,0132,T,100,6.1NRT,288.14,45.88,N
-21.88428,-48.63923,305.91,1.31,1.14,2022-06-29,0132,T,66,6.1NRT,286.84,12.21,N
-21.88578,-48.63186,323.29,1.31,1.13,2022-06-29,0132,T,100,6.1NRT,287.51,33.23,N
-21.87556,-48.63339,303.45,1.31,1.13,2022-06-29,0132,T,46,6.1NRT,287.37,10.2,N
-21.01285,-44.03179,300.21,1.04,1.02,2022-06-29,0132,T,21,6.1NRT,282.06,7.47,N
-20.23679,-40.24244,303.95,1.68,1.27,2022-06-29,0132,T,58,6.1NRT,290.1,13.79,N
-20.55131,-43.77237,310,1.06,1.03,2022-06-29,0132,T,79,6.1NRT,282.93,13.91,N
-20.27844,-46.35766,308.53,1.02,1.01,2022-06-29,0132,T,75,6.1NRT,284.43,11.93,N
-20.46029,-49.18658,305.33,1.36,1.15,2022-06-29,0132,T,64,6.1NRT,287.93,13.11,N
-19.50928,-43.51529,300.52,1.11,1.05,2022-06-29,0132,T,29,6.1NRT,281.3,8.32,N
-19.44561,-47.5298,304.32,1.09,1.04,2022-06-29,0132,T,60,6.1NRT,283.78,10.15,N
-19.06984,-46.65384,322.48,1.02,1.01,2022-06-29,0132,T,100,6.1NRT,286.35,23.57,N
-18.34746,-47.54767,302.03,1.07,1.03,2022-06-29,0132,T,46,6.1NRT,286.82,7.09,N
-17.97978,-46.73795,310.51,1.02,1.01,2022-06-29,0132,T,80,6.1NRT,288.59,11.7,N
-18.34963,-49.85755,328.15,1.4,1.17,2022-06-29,0132,T,100,6.1NRT,289.77,46.38,N
